latitude,longitude,state,recessionAvg,current
32.806671,-86.79113,Alabama,1.69,1.62
61.370716,-152.404419,Alaska,0.87,1.84
33.729759,-111.431221,Arizona,13.51,0.39
34.969704,-92.373123,Arkansas,2.81,0.65
36.116203,-119.681564,California,18.74,0.41
39.059811,-105.311104,Colorado,8.79,0.09
41.597782,-72.755371,Connecticut,0,2.62
39.318523,-75.507141,Delaware,1.83,3.26
38.897438,-77.026817,"District of Columbia",0,0.93
27.766279,-81.686783,Florida,3.16,0.39
33.040619,-83.643074,Georgia,0,1.51
21.094318,-157.498337,Hawaii,0.11,0
44.240459,-114.478828,Idaho,0,0.44
40.349457,-88.986137,Illinois,0,2.53
39.849426,-86.258278,Indiana,5.76,2.01
42.011539,-93.210526,Iowa,1.11,0.79
38.5266,-96.726486,Kansas,1.74,1.4
37.66814,-84.670067,Kentucky,0.17,0.11
31.169546,-91.867805,Louisiana,0,0
44.693947,-69.381927,Maine,0,0.8
39.063946,-76.802101,Maryland,0,2
42.230171,-71.530106,Massachusetts,0,1.13
43.326618,-84.536095,Michigan,13.18,1.35
45.694454,-93.900192,Minnesota,0,0.63
32.741646,-89.678696,Mississippi,0,0.15
38.456085,-92.288368,Missouri,3.41,0
46.921925,-110.454353,Montana,0.81,0.57
41.12537,-98.268082,Nebraska,0.55,0.61
43.452492,-71.563896,"New Hampshire",0,0.85
40.298904,-74.521011,"New Jersey",0,2.27
34.840515,-106.248482,"New Mexico",0,0.19
42.165726,-74.948051,"New York",0,0
35.630066,-79.806419,"North Carolina",3.55,0.82
47.528912,-99.784012,"North Dakota",0,1.49
40.388783,-82.764915,Ohio,3.73,3.16
35.565342,-96.928917,Oklahoma,0,1.63
44.572021,-122.070938,Oregon,0,1.17
40.590752,-77.209755,Pennsylvania,1.79,2.2
33.856892,-80.945007,"South Carolina",1.44,0
44.299782,-99.438828,"South Dakota",0.29,0
35.747845,-86.692345,Tennessee,3,1.08
31.054487,-97.563461,Texas,2.88,0.67
40.150032,-111.862434,Utah,2.23,0.2
44.045876,-72.710686,Vermont,0.91,1.21
37.769337,-78.169968,Virginia,2.48,1.34
47.400902,-121.490494,Washington,2.02,0.62
38.491226,-80.954453,"West Virginia",0.16,0.02
44.268543,-89.616508,Wisconsin,0,1.07
42.755966,-107.30249,Wyoming,2.19,2.38
